"","ID","Title","Director","Genre"
"95",18632,"A Dog's Breakfast","David Hewlett"," Comedy                     "
"96",22649,"A Farewell to Arms","Frank Borzage"," Drama    Romance    War               "
"97",881,"A Few Good Men","Rob Reiner"," Drama                     "
"98",248402,"A Fine Step","Jonathan Meyers"," Drama                     "
"99",391,"A Fistful of Dollars","Sergio Leone"," Western                     "
"100",17768,"A Funny Thing Happened on the Way to the Forum","Richard Lester"," Comedy    Music                  "
"101",47964,"A Good Day to Die Hard","John Moore"," Action    Thriller                  "
"102",9726,"A Good Year","Ridley Scott"," Comedy    Drama    Romance               "
"103",43306,"A Guy Named Joe","Victor Fleming"," Drama    Romance    War               "
"104",9582,"A Guy Thing","Chris Koch"," Comedy    Romance                  "
"105",704,"A Hard Day's Night","Richard Lester"," Comedy    Music                  "
"106",139038,"A Haunted House","Michael Tiddes"," Comedy    Horror                  "
"107",184345,"A Haunted House 2","Michael Tiddes"," Comedy    Horror                  "
"108",59,"A History of Violence","David Cronenberg"," Drama    Thriller    Crime               "
"109",18923,"A Home at the End of the World","Michael Mayer"," Romance    Drama                  "
"110",9476,"A Knight's Tale","Brian Helgeland"," Adventure    Drama    Romance    Action            "
"111",11287,"A League of Their Own","Penny Marshall"," Comedy                     "
"112",251471,"A LEGO Brickumentary","Kief Davidson"," Documentary                     "
"113",81390,"A Lonely Place to Die","Julian Gilbey"," Adventure    Action    Thriller    Crime            "
"114",8976,"A Lot Like Love","Nigel Cole"," Comedy                     "
"115",26352,"A Low Down Dirty Shame","Keenen Ivory Wayans"," Action    Comedy    Crime               "
"116",175555,"A Madea Christmas","Tyler Perry"," Comedy    Drama                  "
"117",8409,"A Man Apart","F. Gary Gray"," Action    Drama                  "
"118",874,"A Man for All Seasons","Fred Zinnemann"," Drama    History                  "
"119",1988,"A Mighty Heart","Michael Winterbottom"," Drama    Thriller                  "
"120",13370,"A Mighty Wind","Christopher Guest"," Comedy    Music                  "
"121",188161,"A Million Ways to Die in the West","Seth MacFarlane"," Comedy    Western                  "
"122",77459,"A Monster in Paris","Bibo Bergeron"," Adventure    Animation    Comedy    Family    Fantasy         "
"123",241239,"A Most Violent Year","J.C. Chandor"," Crime    Drama    Thriller               "
"124",157849,"A Most Wanted Man","Anton Corbijn"," Thriller                     "
"125",9429,"A Night at the Roxbury","John Fortenberry"," Comedy                     "
"126",377,"A Nightmare on Elm Street","Wes Craven"," Horror                     "
"127",10072,"A Nightmare on Elm Street 3: Dream Warriors","Chuck Russell"," Horror    Thriller                  "
"128",10131,"A Nightmare on Elm Street 4: The Dream Master","Renny Harlin"," Horror    Thriller                  "
"129",10160,"A Nightmare on Elm Street 5: The Dream Child","Stephen Hopkins"," Horror    Thriller                  "
"130",10014,"A Nightmare on Elm Street Part 2: Freddy's Revenge","Jack Sholder"," Horror                     "
"131",15927,"A Passage to India","David Lean"," Drama    Adventure    History               "
"132",12403,"A Perfect Getaway","David Twohy"," Thriller    Mystery    Adventure               "
"133",9526,"A Prairie Home Companion","Robert Altman"," Drama    Comedy    Music               "
"134",22908,"A Room for Romeo Brass","Shane Meadows"," Drama    Comedy    Foreign               "
"135",11257,"A Room with a View","James Ivory"," Drama    Romance                  "
"136",3509,"A Scanner Darkly","Richard Linklater"," Animation    Science Fiction    Thriller               "
"137",60243,"A Separation","Asghar Farhadi"," Drama                     "
"138",12573,"A Serious Man","Joel Coen"," Comedy    Drama                  "
"139",37206,"A Shine of Rainbows","Vic Sarin"," Drama    Family                  "
"140",10223,"A Simple Plan","Sam Raimi"," Drama    Crime    Thriller               "
"141",17834,"A Simple Wish","Michael Ritchie"," Adventure    Comedy    Family    Fantasy            "
"142",34653,"A Single Man","Tom Ford"," Drama    Romance                  "
"143",10077,"A Sound of Thunder","Peter Hyams"," Thriller    Science Fiction    Adventure    Action            "
"144",702,"A Streetcar Named Desire","Elia Kazan"," Drama                     "
"145",358451,"A Tale of Three Cities","Mabel Cheung"," Drama    History    Romance               "
"146",28121,"A Thin Line Between Love and Hate","Martin Lawrence"," Comedy    Thriller    Crime    Romance            "
"147",72358,"A Thousand Words","Brian Robbins"," Drama    Comedy                  "
"148",1645,"A Time to Kill","Joel Schumacher"," Crime    Drama    Thriller               "
"149",222250,"A True Story","Malcolm Goodwin"," Comedy                     "
"150",49953,"A Turtle's Tale: Sammy's Adventures","Ben Stassen"," Animation    Family                  "
"151",55465,"A Very Harold & Kumar Christmas","Todd Strauss-Schulson"," Comedy                     "
"152",2841,"A Very Long Engagement","Jean-Pierre Jeunet"," Drama                     "
"153",707,"A View to a Kill","John Glen"," Adventure    Action    Thriller               "
"154",169917,"A Walk Among the Tombstones","Scott Frank"," Crime    Drama    Mystery    Thriller            "
"155",28029,"A Walk on the Moon","Tony Goldwyn"," Drama    Romance                  "
"156",10229,"A Walk to Remember","Adam Shankman"," Drama    Romance                  "
"157",44555,"A Woman, a Gun and a Noodle Shop","Zhang Yimou"," Comedy    Drama    Thriller               "
"158",644,"A.I. Artificial Intelligence","Steven Spielberg"," Drama    Science Fiction    Adventure               "
"159",15992,"Abandon","Stephen Gaghan"," Drama    Mystery    Thriller               "
"160",356987,"Abandoned","John Laing"," Drama    Thriller                  "
"161",157293,"ABCD (Any Body Can Dance)","Remo D'Souza"," Drama    Music                  "
"162",59965,"Abduction","John Singleton"," Thriller    Action    Mystery               "
"163",26665,"Aberdeen","Hans Petter Moland"," Drama    Comedy    Foreign               "
"164",245,"About a Boy","Chris Weitz"," Drama    Comedy    Romance               "
"165",222899,"About Last Night","Steve Pink"," Comedy    Romance                  "
"166",2755,"About Schmidt","Alexander Payne"," Drama    Comedy                  "
"167",122906,"About Time","Richard Curtis"," Comedy    Drama    Science Fiction               "
"168",72331,"Abraham Lincoln: Vampire Hunter","Timur Bekmambetov"," Action    Fantasy    Horror               "
"169",74777,"Absentia","Mike Flanagan"," Mystery    Horror    Thriller               "
"170",66,"Absolute Power","Clint Eastwood"," Crime    Drama    Thriller               "
"171",316002,"Accidental Love","David O. Russell"," Romance    Comedy                  "
"172",3049,"Ace Ventura: Pet Detective","Tom Shadyac"," Comedy    Mystery                  "
"173",9273,"Ace Ventura: When Nature Calls","Steve Oedekerk"," Crime    Comedy    Adventure               "
"174",4688,"Across the Universe","Julie Taymor"," Adventure    Drama    Music    Romance            "
"175",75674,"Act of Valor","Mike McCoy"," Action    Thriller    War               "
"176",10117,"Action Jackson","Craig R. Baxley"," Action    Adventure    Comedy    Crime    Drama         "
"177",22051,"Adam","Max Mayer"," Drama    Romance                  "
"178",18516,"Adam Resurrected","Paul Schrader"," Drama    War                  "
"179",2757,"Adaptation.","Spike Jonze"," Comedy    Crime    Drama               "
"180",235271,"Addicted","Bille Woodruff"," Drama    Thriller                  "
"181",144340,"Admission","Paul Weitz"," Comedy    Drama    Romance               "
"182",111190,"Adore","Anne Fontaine"," Drama                     "
"183",376004,"Adulterers","H.M. Coakley"," Thriller    Crime    Drama               "
"184",16614,"Adventureland","Greg Mottola"," Comedy                     "
"185",8202,"Æon Flux","Karyn Kusama"," Action    Science Fiction                  "
"186",118612,"After","Ryan Smith"," Mystery    Thriller                  "
"187",82700,"After Earth","M. Night Shyamalan"," Science Fiction    Action    Adventure               "
"188",10589,"After the Sunset","Brett Ratner"," Action    Comedy    Crime    Drama            "
"189",36419,"After.Life","Agnieszka Wojtowicz-Vosloo"," Drama    Horror    Mystery    Thriller            "
"190",8842,"Against the Ropes","Charles S. Dutton"," Romance    Drama                  "
"191",246449,"Against the Wild","Richard Boddington"," Adventure    Family                  "
"192",10923,"Agent Cody Banks","Harald Zwart"," Action                     "
"193",17047,"Agent Cody Banks 2: Destination London","Kevin Allen"," Comedy                     "
"194",26428,"Agora","Alejandro Amen\u00e1bar"," Adventure    Drama    History               "
"195",2211,"Aimee & Jaguar","Max F\u00e4rberb\u00f6ck"," Drama    History    Romance               "
"196",20737,"Air Bud","Charles Martin Smith"," Comedy    Family    Drama               "
"197",9772,"Air Force One","Peter Kohn"," Action    Thriller                  "
"198",13064,"Airborne","Rob Bowman"," Action    Adventure    Comedy               "
"199",375290,"Airlift","Raja Menon"," Thriller    Action    Drama    History            "
"200",813,"Airplane!","Jerry Zucker"," Comedy                     "
"201",24424,"Ajami","Scandar Copti"," Crime    Drama                  "
"202",13751,"Akeelah and the Bee","Doug Atchison"," Drama                     "
"203",149,"Akira","Katsuhiro \u014ctomo"," Science Fiction    Animation                  "
"204",812,"Aladdin","Ron Clements"," Animation    Family    Comedy    Adventure    Fantasy    Romance      "
"205",13495,"Alatriste","Agust\u00edn D\u00edaz Yanes"," Action                     "
"206",73873,"Albert Nobbs","Rodrigo Garc\u00eda"," Drama                     "
"207",8744,"Albino Alligator","Kevin Spacey"," Crime    Drama    Thriller               "
"208",17813,"Alex & Emma","Rob Reiner"," Comedy    Romance                  "
"209",94348,"Alex Cross","Rob Cohen"," Action    Thriller    Crime    Mystery            "
"210",1966,"Alexander","Oliver Stone"," War    History    Action    Adventure    Drama    Romance      "
"211",218778,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Miguel Arteta"," Family    Comedy                  "
"212",43839,"Alexander's Ragtime Band","Henry King"," Drama    Music    Romance               "
"213",8849,"Alfie","Charles Shyer"," Comedy                     "
"214",8489,"Ali","Michael Mann"," Drama                     "
"215",12155,"Alice in Wonderland","Tim Burton"," Family    Fantasy    Adventure               "
"216",241259,"Alice Through the Looking Glass","James Bobin"," Fantasy                     "
"217",348,"Alien","Ridley Scott"," Horror    Action    Thriller    Science Fiction            "
"218",77156,"Alien Zone","Sharron Miller"," Horror    Action    Thriller    Science Fiction            "
"219",8078,"Alien: Resurrection","Jean-Pierre Jeunet"," Science Fiction    Horror    Action               "
"220",8077,"Alien³","David Fincher"," Science Fiction    Action    Horror               "
"221",679,"Aliens","James Cameron"," Horror    Action    Thriller    Science Fiction            "
"222",20856,"Aliens in the Attic","John Schultz"," Adventure    Comedy    Family    Fantasy    Science Fiction         "
"223",440,"Aliens vs Predator: Requiem","Colin Strause"," Fantasy    Action    Science Fiction    Thriller    Horror         "
"224",7305,"Alive","Frank Marshall"," Action    Adventure    Drama    Thriller            "
"225",23706,"All About Steve","Phil Traill"," Comedy                     "
"226",13950,"All About the Benjamins","Kevin Bray"," Action    Adventure    Comedy               "
"227",46503,"All Good Things","Andrew Jarecki"," Drama    Mystery    Thriller    Crime    Romance         "
"228",10914,"All Hat","Leonard Farlinger"," Action    Comedy    Drama    Western            "
"229",174311,"All Is Bright","Phil Morrison"," Comedy    Drama                  "
"230",152747,"All Is Lost","J.C. Chandor"," Action    Adventure    Drama               "
"231",12454,"All or Nothing","Mike Leigh"," Comedy    Drama                  "
"232",86304,"All Superheroes Must Die","Jason Trost"," Science Fiction    Thriller                  "
"233",16858,"All That Jazz","Bob Fosse"," Drama    Music                  "
"234",9022,"All the Boys Love Mandy Lane","Jonathan Levine"," Horror    Mystery    Thriller               "
"235",1717,"All the King's Men","Steven Zaillian"," Drama    Thriller                  "
"236",21355,"All the Pretty Horses","Billy Bob Thornton"," Drama    Romance    Western               "
"237",31668,"All The Queen's Men","Stefan Ruzowitzky"," Action    Comedy    Drama    History            "
"238",13132,"All the Real Girls","David Gordon Green"," Drama    Romance                  "
"239",262504,"Allegiant","Robert Schwentke"," Adventure    Science Fiction                  "
"240",285743,"Alleluia! The Devil's Carnival","Darren Lynn Bousman"," Music    Horror                  "
"241",786,"Almost Famous","Cameron Crowe"," Drama    Music                  "
"242",251321,"Aloft","Claudia Llosa"," Drama                     "
"243",222936,"Aloha","Cameron Crowe"," Drama    Comedy    Romance               "
"244",12142,"Alone in the Dark","Uwe Boll"," Action    Fantasy    Horror    Thriller            "
"245",18206,"Alone With Her","Eric Nicholas"," Crime    Drama    Romance    Thriller            "
"246",2043,"Along Came a Spider","Lee Tamahori"," Crime    Mystery    Thriller    Action            "
"247",5966,"Along Came Polly","John Hamburg"," Comedy    Romance                  "
"248",173224,"Along the Roadside","Zoran Lisinac"," Romance    Comedy    Music               "
"249",12819,"Alpha and Omega","Ben Gluck"," Family    Animation                  "
"250",294512,"Alpha and Omega: The Legend of the Saw Tooth Cave","Richard Rich"," Family    Animation    Comedy    Adventure            "
"251",6477,"Alvin and the Chipmunks","Tim Hill"," Comedy    Music    Family    Fantasy    Animation         "
"252",55301,"Alvin and the Chipmunks: Chipwrecked","Mike Mitchell"," Comedy    Fantasy    Family    Music    Animation         "
"253",258509,"Alvin and the Chipmunks: The Road Chip","Walt Becker"," Adventure    Animation    Comedy    Family            "
"254",23398,"Alvin and the Chipmunks: The Squeakquel","Betty Thomas"," Comedy    Family    Animation    Fantasy    Music         "
"255",279,"Amadeus","Milo\u0161 Forman"," Drama    History    Music               "
"256",194,"Amélie","Jean-Pierre Jeunet"," Comedy    Romance                  "
"257",9045,"Amen.","Costa-Gavras"," Drama    History                  "
"258",380097,"America Is Still the Place","","                     "
"259",402515,"American Beast","Livingston Oden"," Horror                     "
"260",14,"American Beauty","Sam Mendes"," Drama                     "
"261",32222,"American Desi","Piyush Dinker Pandya"," Drama    Comedy    Romance               "
"262",9310,"American Dreamz","Paul Weitz"," Comedy    Drama    Family               "
"263",4982,"American Gangster","Ridley Scott"," Drama    Crime                  "
"264",838,"American Graffiti","George Lucas"," Comedy    Drama                  "
"265",250066,"American Heist","Sarik Andreasyan"," Action                     "
"266",367551,"American Hero","Nick Love"," Action    Comedy    Science Fiction               "
"267",73,"American History X","Tony Kaye"," Drama                     "
"268",168672,"American Hustle","David O. Russell"," Drama    Crime                  "
"269",25678,"American Ninja 2: The Confrontation","Sam Firstenberg"," Action    Adventure    Drama               "
"270",13496,"American Outlaws","Les Mayfield"," Action    Western                  "
"271",2105,"American Pie","Chris Weitz"," Comedy    Romance                  "
"272",2770,"American Pie 2","J.B. Rogers"," Comedy    Romance                  "
"273",1359,"American Psycho","Mary Harron"," Thriller    Drama    Crime               "
"274",71552,"American Reunion","Jon Hurwitz"," Comedy                     "
"275",190859,"American Sniper","Clint Eastwood"," War    Action                  "
"276",2771,"American Splendor","Shari Springer Berman"," Comedy    Drama                  "
"277",8273,"American Wedding","Jesse Dylan"," Comedy    Romance                  "
"278",11467,"America's Sweethearts","Joe Roth"," Comedy    Romance                  "
"279",378237,"Amidst the Devil's Wings",""," Drama    Action    Crime               "
"280",72913,"Amigo","John Sayles"," Drama    History    War               "
"281",11831,"Amistad","Steven Spielberg"," Drama    History    Mystery               "
"282",351043,"Amnesiac","Michael Polish"," Thriller    Mystery    Drama    Horror            "
"283",125123,"Among Giants","Sam Miller"," Comedy    Romance                  "
"284",55,"Amores perros","Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu"," Drama    Thriller                  "
"285",86837,"Amour","Michael Haneke"," Drama    Romance                  "
"286",78149,"An Alan Smithee Film: Burn, Hollywood, Burn","Alan Smithee"," Comedy                     "
"287",13948,"An American Carol","David Zucker"," Comedy    Fantasy                  "
"288",10008,"An American Haunting","Courtney Solomon"," Horror    Thriller                  "
"289",282128,"An American in Hollywood","Sai Varadan","                     "
"290",24684,"An Education","Lone Scherfig"," Drama    Romance                  "
"291",29122,"An Everlasting Piece","Barry Levinson"," Comedy    Crime                  "
"292",24137,"An Ideal Husband","Oliver Parker"," Drama    Comedy    Romance               "
"293",1781,"An Inconvenient Truth","Davis Guggenheim"," Documentary                     "
"294",1947,"An Unfinished Life","Lasse Hallstr\u00f6m"," Drama                     "
"295",9360,"Anaconda","Luis Llosa"," Adventure    Horror    Thriller               "
"296",11237,"Anacondas: The Hunt for the Blood Orchid","Dwight H. Little"," Adventure    Action    Horror    Science Fiction    Thriller         "
"297",9932,"Analyze That","Harold Ramis"," Comedy    Crime                  "
"298",9535,"Analyze This","Harold Ramis"," Comedy    Crime                  "
"299",9444,"Anastasia","Gary Goldman"," Animation    Family                  "
"300",1698,"Anatomy","Stefan Ruzowitzky"," Horror    Thriller                  "
"301",109443,"Anchorman 2: The Legend Continues","Adam McKay"," Comedy                     "
"302",8699,"Anchorman: The Legend of Ron Burgundy","Adam McKay"," Comedy                     "
"303",253235,"And So It Goes","Rob Reiner"," Comedy    Drama    Romance               "
"304",29731,"And Then Came Love","Richard Schenkman"," Comedy    Romance                  "
"305",324352,"Anderson's Cross","Jerome Elston Scott"," Romance    Comedy    Drama               "
"306",5852,"Angel Eyes","Luis Mandoki"," Drama    Romance    Thriller               "
"307",10397,"Angela's Ashes","Alan Parker"," Drama                     "
"308",13448,"Angels & Demons","Ron Howard"," Thriller    Mystery                  "
"309",8469,"Animal House","John Landis"," Comedy                     "
"310",253253,"Animals","Collin Schiffli"," Drama                     "
"311",50135,"Animals United","Reinhard Klooss"," Animation    Family    Comedy               "
"312",1439,"Anna and the King","Andy Tennant"," Drama    History    Romance               "
"313",96724,"Anna Karenina","Joe Wright"," Drama    Romance                  "
"314",250546,"Annabelle","John R. Leonetti"," Horror                     "
"315",17663,"Anne of Green Gables","Kevin Sullivan"," Drama    Family                  "
"316",196867,"Annie","Will Gluck"," Comedy    Drama    Family               "
"317",25209,"Annie Get Your Gun","George Sidney"," Action    Comedy    Music    Romance    Western         "
"318",703,"Annie Hall","Woody Allen"," Comedy    Drama    Romance               "
"319",291270,"Anomalisa","Charlie Kaufman"," Animation    Comedy    Drama    Romance            "
"320",61891,"Anonymous","Roland Emmerich"," Drama    History    Thriller               "
"321",55420,"Another Earth","Mike Cahill"," Drama    Science Fiction                  "
"322",60422,"Another Happy Day","Sam Levinson"," Comedy    Drama                  "
"323",44009,"Another Year","Mike Leigh"," Comedy    Drama                  "
"324",335244,"Antarctic Edge: 70° South","Dena Seidel"," Documentary                     "
"325",201132,"Antarctica: A Year on Ice","Anthony Powell"," Drama    Adventure    Documentary               "
"326",332285,"Antibirth","Danny Perez"," Horror                     "
"327",9989,"Antitrust","Peter Howitt"," Action    Crime    Drama               "
"328",125490,"Antiviral","Brandon Cronenberg"," Science Fiction    Horror                  "
"329",102899,"Ant-Man","Peyton Reed"," Science Fiction    Action    Adventure               "
"330",13435,"Antwone Fisher","Denzel Washington"," Drama    Romance                  "
"331",8916,"Antz","Eric Darnell"," Adventure    Animation    Comedy    Family            "
"332",9563,"Any Given Sunday","Oliver Stone"," Drama                     "
"333",10739,"Anything Else","Woody Allen"," Comedy    Romance                  "
"334",21349,"Anywhere But Here","Wayne Wang"," Drama    Comedy    Romance               "
"335",28,"Apocalypse Now","Francis Ford Coppola"," Drama    War                  "
"336",1579,"Apocalypto","Mel Gibson"," Action    Adventure    Drama    Thriller            "
"337",568,"Apollo 13","Ron Howard"," Drama                     "
"338",50357,"Apollo 18","Gonzalo L\u00f3pez-Gallego"," Horror    Thriller    Science Fiction               "
"339",12690,"Appaloosa","Ed Harris"," Drama    Western    Crime               "
"340",24913,"April Fool's Day","Fred Walton"," Horror    Mystery                  "
"341",13158,"Aqua Teen Hunger Force Colon Movie Film for Theaters","Dave Willis"," Animation    Comedy                  "
"342",14191,"Aquamarine","Elizabeth Allen Rosenbaum"," Fantasy    Romance    Family    Comedy            "
"343",6488,"Arachnophobia","Frank Marshall"," Comedy    Horror                  "
"344",16351,"Ararat","Atom Egoyan"," War    Drama                  "
"345",60599,"Arbitrage","Nicholas Jarecki"," Drama    Thriller                  "
"346",288927,"Archaeology of a Woman","Sharon Greytak"," Drama                     "
"347",11637,"Are We There Yet?","Brian Levant"," Adventure    Comedy    Family    Romance            "
"348",57876,"Area 51","Oren Peli"," Horror    Thriller    Science Fiction               "
"349",68734,"Argo","Ben Affleck"," Drama    Thriller                  "
"350",1073,"Arlington Road","Mark Pellington"," Drama    Thriller    Mystery               "
"351",95,"Armageddon","Michael Bay"," Action    Thriller    Science Fiction    Adventure            "
"352",4597,"Armored","Nimr\u00f3d Antal"," Action    Crime    Drama    Thriller            "
"353",766,"Army of Darkness","Sam Raimi"," Fantasy    Horror    Comedy               "
"354",13491,"Arn: The Knight Templar","Peter Flinth"," Action    Adventure    Drama    Romance            "
"355",10204,"Around the World in 80 Days","Frank Coraci"," Action    Adventure    Comedy               "
"356",178862,"Aroused","Deborah Anderson"," Documentary                     "
"357",9992,"Arthur and the Invisibles","Luc Besson"," Adventure    Fantasy    Animation    Family            "
"358",51052,"Arthur Christmas","Barry Cook"," Drama    Animation    Family    Comedy            "
"359",256274,"As Above, So Below","John Erick Dowdle"," Horror    Thriller                  "
"360",2898,"As Good as It Gets","James L. Brooks"," Comedy    Romance                  "
"361",464,"As It Is in Heaven","Kay Pollak"," Romance    Drama    Comedy    Music            "
"362",271185,"Ask Me Anything","Allison Burnett"," Drama    Mystery    Thriller               "
